CompNameCommon,Address,PostalCode,Province,City,Contact,Email,PhoneMain,CompWCBNumber,PermanentlyClosedFlag,CompNameAlias,CompNameLegal,HasActiveHCP,AddressText
J&M Window & Door Inc,,,MB,,Daryn Chornoboy (Owner),,204-728-1746 or 204-721-9007,2141455,,,J&M Window & Door Inc,FALSE,
J&P Grocery,,,MB,,,,,,,,,FALSE,
J. Basaraba Construction,27 Burmac Road,R2J 4C3,MB,Winnipeg,John Basaraba,johnbasaraba@shaw.ca,356-2020,,,,,FALSE,27 Burmac Road
J. Brandt Enterprises,,,MB,,,,,,,,,FALSE,
J. Funk Stucco Netting,211 Walnut,R5G 1H7,MB,Mitchell,Jeff Funk,n/a,204-346-2040,,,,,FALSE,211 Walnut
J. Gallagher & Co,,,MB,,,,,,,,,FALSE,
J. Giesbrecht & Son Cranes Ltd,,,MB,,,,,,,,,FALSE,
J. Hart Enterprises Ltd.,,,MB,,,,,,,,,FALSE,
J. Jamieson Construction,,,MB,,Scott Ward,jamieson_construction@hotmail.com,204-573-4764,1444835,,Jamieson Construction,6832157 Manitoba Ltd,FALSE,
J. Loewen and Sons,2044 Rothesay Street,R2G 3P9,MB,Winnipeg,J> Loewen,,204-669-1222,,,,,FALSE,2044 Rothesay Street
J. M.T. Holdings Inc,3000 Main St,R2V 4T2,MB,West St Paul,Tony Teixeira,tony@cpaving.com,989-4700,,,,,FALSE,3000 Main St
J. Mitchler Framing,405 Wales Ave,,MB,Winnipeg,J Mitchler,jay-the-carpenter@hotmail.com,793-2347,,,,,FALSE,405 Wales Ave
J. Ross Property Maintenance & Landscaping Ltd.,,,MB,,,,,,,,,FALSE,
J. Roulette General Contracting,,,MB,,,,,,,,,FALSE,
J. S. Henry & Sons Ltd.,,,MB,Oak River,Denise Henry,,204-566-2422,,,,,FALSE,
J. Skibinski Construction and Renovations,,,MB,,John Skibinski,,648-5063,,,,,FALSE,
J.B Tiles,,R0G 1Y0,MB,St Agathe,Juri Brak,juribrak@mts.net,204-470-5833,,,,,FALSE,
J.C.V. Mechanical,44 Mercy St,R1A 1Z7,MB,Selkirk,Jim Verberg,,785-8225  cel 797-6901,1369024,,,J.C.V. Mechanical Inc,FALSE,44 Mercy St
J.E.Framing,,,MB,,,,,,,,,FALSE,
J.N. Friesen Sheet Metal & Roofing Inc.,,R0A 0R0,MB,Grunthal,Connie Gauthier,friesenroofing@live.ca,1-204-434-62,,,,,FALSE,
J.N.T. Construction,58 Fifth Ave Suite 2,R2M 0B1,MB,Winnipeg,Jason Silvari,,,,,,,FALSE,58 Fifth Ave Suite 2
J.P. Wiebe Ltd,,,MB,,,,,,,,,FALSE,
J.S Dyna-Tech Industries,514 Aulneau St,R2H 2V3,MB,Winnipeg,,,204-294-0467,,,,,FALSE,514 Aulneau St
J/K Refrigeration,,,MB,,,,204-981-0296,,,,,FALSE,
Jabb Exteriors,,,MB,,,,,1799626,,,,FALSE,
Jablonski Electric Inc,,,MB,,Jason Jablonski - owner/journeyman,jason@jablonskielectric.ca,204-712-6700,,,,,FALSE,
Jack Heyens Excavating Ltd,,R0A 1E0,MB,Niverville,Adrienne,,388-4579,1213412,,,,FALSE,
Jack Janssen Construction,1 Industrial Road,R1A 3N8,MB,St Andrews,,,,0939702,,,,FALSE,1 Industrial Road
Jack Kostyk,"Lot 234 Sunset Beach Road, Clearwater Lake",R9A 1S3,MB,The Pas,Jack Kostyk,,204-624-5582,,,,,FALSE,"Lot 234 Sunset Beach Road, Clearwater Lake"
Jack Lumax,,,MB,Swan River,Jack Lumax,,204-525-4638,,,,,FALSE,
Jack Strelezki Welding,203 Copper Road,R0B 1M0,MB,Snow Lake,Jack Strelezki,,204-358-7688,,,,,FALSE,203 Copper Road
Jack Watson,276 Harcourt St,R3J 3H5,MB,Winnipeg,,,,9910016,,,,FALSE,276 Harcourt St
Jack's Meat Market & Frozen Food,92 3rd St,R0E 0C0,MB,Beausejour,Jack Arran,,204-268-1596,0813105,,,,FALSE,92 3rd St
Jackson Builders,,,MB,,,,,,,,,FALSE,
Jackson C & D,,,MB,,,,,1396001,,,,FALSE,
Jackson General Store,,,MB,,,,,,,,,FALSE,
Jackson Poly & Insulation,,,MB,,,,,,,,,FALSE,
Jackson Springs Natural Water,855 Keewatin St Suite 1,R2X 2S7,MB,Winnipeg,,info@jacksonspringswater.com,204-889-2837,,,,,FALSE,855 Keewatin St Suite 1
Jackson's Caribou Lodges and Outpost,,R0E 1M0,MB,Pine Falls,Marlene Jackson,,367-4401,1304302,,"Jackson's Caribou Crossing,Caribou Lodge,Jackson's on Quesnel Lake,Atikaki Wilderness",3097456 Manitoba Ltd,FALSE,
Jaco ECO Solutions,,,MB,,,,,10562261,,,,FALSE,
Jacob Junior,1485 Portage Ave Suite L173,R3G 0W4,MB,Winnipeg,,,772.8727,,,,,FALSE,1485 Portage Ave Suite L173
Jacob's Construction,,,MB,,,,,,,,,FALSE,
Jacobs Honey,,,MB,,,,,,,,,FALSE,
Jacobson & Greiner,2404 Park Ave,R7B 0S3,MB,Brandon,Brian Valcourt,,204-728-2235,,,,Vinell Holdings,FALSE,2404 Park Ave
Jacobson Commercial Ltd,2404 Park Ave,R7B 0S3,MB,Brandon,Brent Nichol - VP of Construction 204-725-8111Megan Paradis - Internal Construction Mgr 204-761-8760,brent@jandggroup.camegan@gandggroup.ca,204-728-2235,2351559,,J&G Homes,J&G Group,FALSE,2404 Park Ave
Jade & Ducharme,,,MB,,,,,,,,,FALSE,
Jade Signworks Inc.,52 Speers Road,R2J 1M3,MB,Winnipeg,Mark Seel,,231-1390,,,,,FALSE,52 Speers Road
Jade Transport Ltd.,,,MB,,,,,,,,Jade Transport Ltd.,FALSE,
Jad's General Mart,19160 Arnes Road,R0C 0C0,MB,Arnes,Debra Palahniuk,,(204) 642-5731 or 661-4534,1485192,,,,FALSE,19160 Arnes Road
Jag Maintenance Ltd,,,MB,,,,,,,,,FALSE,
Jag Sign & Lighting Maintenance,2229 Knowles Ave,R2G 2K7,MB,Winnipeg,,,,1246842,,,,FALSE,2229 Knowles Ave
Jagren,32 Campbell St,R0M 1L0,MB,Melita,"gill Elmgren, Owner partner",,522-8936,,,,,FALSE,32 Campbell St
JAGS Development Ltd.,,,MB,,,,,,,,,FALSE,
Jaimie's Tire,,,MB,,,,,,,,Integra Tire and Auto,FALSE,
Jake Klassen's Kitchen Gallery,435 Century St Suite 430,R3J 1J9,MB,Winnipeg,Jake Klassen,hs_klassenkitchens@mts.net,986-6400 or 6403,0805820,,,Gold River Enterprises Ltd,FALSE,435 Century St Suite 430
Jake Wiebe Construction,,,MB,Tolstoi,Jake Wiebe,,204-427-2991,,,,,FALSE,
Jake`s Backhoe Service Ltd,,R0K 1H0,MB,Neepawa,,,476-3290,,,,,FALSE,
Jake's Fancy Stair work Ltd.,,,MB,,,,,,,,,FALSE,
Jake's Oilfield Construction Ltd,,S4A 2A6,SK,Estevan,Jake McCaw,,306-634-7685,,,,,FALSE,
JAM Projects,,,MB,,,jamrenos@gmail.com,204-291-9914 or 204-295-3907,,,,,FALSE,
Jamerson,,,MB,,,,,,,,,FALSE,
James A Mcdonald,,R0K 0E0,MB,Boissevain,,,534-6679,,,,,FALSE,
James Alexander Warehouse,1180 Wolever Ave,R3G 2T3,MB,Winnipeg,Jane Howe,,786-8901,0321869,,,3600106 Manitoba Inc,FALSE,1180 Wolever Ave
James Child Care Inc.,,,MB,,,,,,,,,FALSE,
James Edgar Building and Rennovations,220 Young St,,MB,Winnipeg,James MacDonald,jaedgar2003@yahoo.ca,204-880-5920,,,,,FALSE,220 Young St
James Jones Construction,,R3C 2E8,MB,Winnipeg,,,339-6412,,,,,FALSE,
James Minsky Trucking,370 Transport Road,,MB,Winnipeg,Virginia Minsky,vminsky@highspeedcrow.ca,1-204-757-4304,0745166,,,,FALSE,370 Transport Road
James Wall Plumbing Ltd,1000 Elgin Ave,R3E 1B4,MB,Winnipeg,,,783-9255,0898445,,,,FALSE,1000 Elgin Ave
James Wood'n Furnishings,396 Peters Ave,R6W 2V7,MB,Winkler,James Hildebrand,jlhhl@mts.net,1-204-325-4115,1390137,,,,FALSE,396 Peters Ave
Jamie Bartlett,,,MB,,Jamie Bartlett - Supervisor,jambart29@me.com,204-804-3081,,,,,FALSE,
Jamie Bell,304 St Mary's Road,R2H 1J6,MB,Winnipeg,,,,1034891,,,,FALSE,304 St Mary's Road
Jamie`s Auto Service,,,MB,,,,,,,,Integra Tire,FALSE,
Jamie's Auto Service,,,MB,,,,,,,,Integra Tire,FALSE,
Jamieson Construction,758 19th St,R7B 1K8,MB,Brandon,Scott Jamieson,,,1444835,,,,FALSE,758 19th St
Jamieson Judd Ltd,102 Industrial Drive,R7A 7S5,MB,Brandon,,,204-728-5843 or 204-728-1246,0552174,,J J Electric Limited,,FALSE,102 Industrial Drive
Jamno Roofing & Construction,175 Roberta Ave,R2K 0K1,MB,Winnipeg,Zbigniew (Ziggy) Osciak,marzena1313@hotmail.com (Girlfriend's email),204-668-8994 or 204-999-7883 (Cell),1130558,,,,FALSE,175 Roberta Ave
Jamor Farms,,,MB,,,,,,,,,FALSE,
Jan Van Connstruction,,,MB,,,,,,,,,FALSE,
Jandu Framing Ltd,,,MB,,,,,,,,,FALSE,
Jandu Framing Ltd.,,,MB,,,,,,,,,FALSE,
Jani King Janitorial Services,1060 Waverley St Suite 8,R3T 5S4,MB,Winnipeg,"Dale Berry; Harry A Hand, Owner",,989-5925,,,Jani King,,FALSE,1060 Waverley St Suite 8
Janice Manufacturing - Kodiak Shelter Systems,,,MB,,,,,,,Kodiak Shelter Systems,Janice Manufacturing,FALSE,
Janico Investments Ltd,928 Marion St,R2J 0K8,MB,Winnipeg,Nancy Lehr,,949-7280,1224328,,Petro Canada Wholesale Marketer,,FALSE,928 Marion St
Jank Homes Construction Inc,139 Whittier Ave E,R2C 0M5,MB,Winnipeg,Justin Allen,justinallen09@gmail.com,204.898.3453,1844927,,Jank Construction,,FALSE,139 Whittier Ave E
Jankal Construction,30 Meadow Brook Drive,R6M 2G1,MB,Morden,Jake Wolfe,,204.362.1398,,,,,FALSE,30 Meadow Brook Drive
Jan-san Equipment Sales and Service,,,MB,,,,,,,,,FALSE,
Janssen Pump Service,,R0E 0K0,MB,Dugald,John,,444-7815,1026137,,,Janssen Plumbing And Backhoe Service Ltd,FALSE,
Janzen Builders (1963) Holdings Limited,,R0G 2X0,MB,Winkler,,,325-8686,0344077,,,,FALSE,
Janzen Chevrolet Buick GMC Ltd,,R6W 4B5,MB,Winkler,Russel Janzen (GM),,866-679-3764,316000,,,Janzen Pontiac Buick Ltd,FALSE,
Janzen Excavating,,R0G 2X0,MB,Winkler,,,325-8686,,,,,FALSE,
Janzen Seeds Ltd,SW 26-3-3W,R0G 1R0,MB,Plum Coulee,Ernie Janzen,jsl@mts.net,1-204-829-7749,0819342,,,,FALSE,SW 26-3-3W
Janzen's Paint & Decorating Ltd.,,,MB,,,,,,,,,FALSE,
Japan Audio Video Service Centre,1037 Erin St,R3G 2X1,MB,Winnipeg,Daniel Kusumoto,service@japanaudio.ca,204-775-0494,,,,,FALSE,1037 Erin St
Japan Camera Centre,1485 Portage Ave Suite 244,R3G 0W4,MB,Winnipeg,,,,0987552,,,B & D Enterprises Ltd,FALSE,1485 Portage Ave Suite 244
Japanese Cultural Association of Manitoba,,,MB,,,,,,,,,FALSE,
Jared Star Consulting,,,MB,,,,,,,,,FALSE,
Jaret Lawerence- C/O Coldwell Waste Disposal,,,MB,,,,,,,,,FALSE,
Jarvis HVAC,,,MB,,,,,,,,,FALSE,
Jarvis Meats Ltd.,Dennis St Suite 72,R0J 0T0,MB,Gladstone,Garth & Marjorie Jarvis,gmmeats@mts.net,204-385-2506,,,,,FALSE,Dennis St Suite 72
Jasmina Renovations Ltd,,R5G 1N9,MB,Steinbach,Reiner Neu,,346-2259,,,,,FALSE,
Jason Plett Construction,,R0A 0X0,MB,Landmark,Jason Plett,garebearjr@yahoo.com,204.346.4236,,,,,FALSE,
Jason Smith,,R0M 0T0,MB,Hamiota,Jason Smith,"jksmith1""mtsm.blackberry.com",764-2206; cell: 764-0037,,,,,FALSE,
Jasper Construction,11 Yard St,R2W 5J6,MB,Winnipeg,Syd McIntyre,gen@ekc2000.com,589-8387,0387142,,E K Construction,,FALSE,11 Yard St
Jasper Labour Service,290 Hodsman Road,S4N 5X4,SK,Regina,,,721-1444,0954206,,,,FALSE,290 Hodsman Road
Jassa Homes Ltd.,,,MB,,,,,,,,,FALSE,
Jasyn LucasArt Works,,,MB,,,,,,,,,FALSE,
JATT Car Modifications Tire & Rims,,,MB,,,,,,,,,FALSE,
Javelin Technology Inc.,,,MB,,John Creelman - Sales Manager,john.creelman@javelin-tech.com,204-474-0982; cell: 204-781-9878,,,,,FALSE,
Jay & Eef Construction,,R5G 1T5,MB,Steinbach,Jacob Unrau,jayeefconst@hotmail.com,204.346.9887,,,,,FALSE,
Jay 3 Renovations,9 Balcom Cove,R2R 1C1,MB,Winnipeg,Jay Kent,jaykent@shaw.ca,470-5903,,,,,FALSE,9 Balcom Cove
Jay Sam Contracting,,R0A 0T0,MB,Landmark,Jason Miller,,471-8664,,,,,FALSE,
Jay Set,300 Mystery Lake Road,R8N 1X6,MB,Thompson,,,677-3820,,,,,FALSE,300 Mystery Lake Road
Jayco Builders Inc.,,,MB,,,jimr@jaycobuilders.ca,403-545-6048,,,,,FALSE,
Jay-Dee Livestock,,,MB,,,,,,,,,FALSE,
Jayden Maeran,,,MB,,,,,,,,,FALSE,
Jayden Maeran,,,MB,,Jayden Maeran,jaydenmaeran@hotmail.com,204-880-9902,,,,,FALSE,
Jay's Stucco,,,MB,,,,,2159713,,,,FALSE,
Jay's Welding Ltd.,,,MB,,,,,,,,,FALSE,
Jazz Golf Equipment,70 Arthur St Suite 100,R3B 1G7,MB,Winnipeg,,,,1173566,,,,FALSE,70 Arthur St Suite 100
JB Plumbing and Heating,,,MB,,,,,,,,,FALSE,
JBA Project Engineering Ltd,630 4TH Ave SW Suite 140,T2P 0J9,AB,Calgary,,,,1158781,,,,FALSE,630 4TH Ave SW Suite 140
Jbasaraba Construction,,,MB,,,,,,,,,FALSE,
JC Professional,,,MB,,,,,,,,,FALSE,
JC Professional,,,MB,,,,,,,,,FALSE,
JC Professional,,,MB,,,,,,,,,FALSE,
JC Professional,,,MB,,,,,,,,,FALSE,
JCB Concrete,,,MB,,,,,,,,,FALSE,
JCI,108 Nelson Road,R8N 0B6,MB,Thompson,James Weller,"kwkco@,ts/met;Rachel Templetonrtjci@mts.net",677-2970,,,,Juniper Centrer Inc.,FALSE,108 Nelson Road
JCI Johnson's Commercial & Industrial Services,381 A Park Ave E,,MB,Brandon,Chris Nakonechny (Operations Manager),chris@jciservices.ca,204-726-4265 or 204-761-3638 (Cell),1553452,,John's Commercial & Industrial Services or Johnson's Commercial & Industrial Services or JCI Services,K-Lea Holdings Ltd,FALSE,381 A Park Ave E
JCM Paper Source Inc,1881 Portage Ave,R3J 3X7,MB,Winnipeg,,,,9460445,,,,FALSE,1881 Portage Ave
JCMS Consulting Inc.,27 Sunset Cove,R1A 3B2,MB,St Andrews,mel Stuart,msap@shaw.ca,c: 801-3625,1635424,,,,FALSE,27 Sunset Cove
J-Con Civil Ltd,e,,MB,Winnipeg,Justin Jones,jjones@j-concivil.com,204-344-5666 or 204-612-1575 (Cell),1640523,,,,FALSE,e
JCV Mechanical,856 Century St,R3H 0M5,MB,Winnipeg,Jim Verburg - Owner/Certified Industrial Mechanic/Machinist,jcvmech@mymts.net,204-224-4036,1369024,,,,FALSE,856 Century St
JCW Roofing & Home Repair,1234 9th St,R7A 6P9,MB,Brandon,Chuck Webb,,204-573-7370,,,,,FALSE,1234 9th St
JD & T Woodworking,537 Jarvis Ave,R2W 3B2,MB,Winnipeg,Danny Petric,,204-582-3907,,,,,FALSE,537 Jarvis Ave
JD Hoggs Meat & Sausage Co,,,MB,,Jerry Donohue (Owner),jerryd@mts.net,204-222-9277,1636000,,,,FALSE,
JD Pump Distributors Ltd.,,,MB,,Dave Strecker (Manager),dave.strecker@jdpumps.ca,204-632-9299,,,,,FALSE,
JDE Building Contractors,133 Ducharme Road,R0C 2S0,MB,St Laurent,Derek Lalonde,jdebuilder@hotmail.com,204-996-3577,,,,,FALSE,133 Ducharme Road
J-Dek Construction Ltd.,,,MB,,,,,,,,,FALSE,
JDL Construction,850 Marion St Suite 3,R2J 0K4,MB,Winnipeg,Joel or Dan,,235-1884,,,,,FALSE,850 Marion St Suite 3
JDM Builders,,,MB,,Jeremy Mitzok,jeremymitzok@gmail.com,204-803-0181,,,,,FALSE,
JDR Construction,315 Centenial St,R3N 1P6,MB,Winnipeg,Jerry Raike,,1-204-362-4691,1528330,,,,FALSE,315 Centenial St
JD's Family Dining,29 Main St NW,R0J 0P0,MB,Erickson,John & Dorothy Geletchuk,,636-2681,1155399,,,,FALSE,29 Main St NW
JDX,,R0A 0V0,MB,Kleefeld,John Dyck,john_jdx@mts.net,377-4403,1328384,,John H Dyck,,FALSE,
Jean Poiron,197 Sadler Ave,R2M 1P2,MB,Winnipeg,"Jean Poiron, Owner",,255-3033,,,,,FALSE,197 Sadler Ave
Jeanne's Bakery Ltd,931 Notre Dame Ave,R3E 0M8,MB,Winnipeg,Davian Penner,,783.5443,091247,,,,FALSE,931 Notre Dame Ave
Jeanson Grocery,1224 Dawson Road,,MB,Lorette,Irene / Robert Jeanson / owner/ operators,eansongrocery@mts.net,878-2201,,,,,FALSE,1224 Dawson Road
Jebb Electric Ltd,,R0M 0N0,MB,Elkorn,Ray Jebb or Kim secretary,jebbelec@mts.net,204-845-2315,0610212,,Rays Electric,,FALSE,
Jebco Agencies Inc,1865 Sargent Ave Suite 19,R3H 0E4,MB,Winnipeg,Tony Taylor,tony@jebcoagenies.com,786-2604,1295658,,,,FALSE,1865 Sargent Ave Suite 19
Jed Farms,,,MB,,,,,,,,,FALSE,
Jedi Painting and Decorating,,,MB,,,,,2628378,,,,FALSE,
Jedlee Enterprises,,,MB,,Jed Broten,jedbroten@hotmail.com,1-204-735-2327 or cel; 1-204-290-2828,,,,,FALSE,
JEDS Construction Ltd,2890 Mcphillips St,R3C 2E8,MB,Winnipeg,Joe Piazers or Andrew Free (Associate Project Manager & CSO),andrew@jeds.ca,"204-338-9900, 204-770-6344 (Joe's Cell) or 204-781-1826 (Andrew's Cell)",0936625,,,JEDS Construction Ltd,FALSE,2890 Mcphillips St
Jeep Doctor,1215 Managhan Ave,R3T 5S8,MB,Winnipeg,Glenn Owen,,453-5337,1341924,,,Glenn Owen,FALSE,1215 Managhan Ave
Jeff Bugg Construction,,R0M 1L0,MB,Melita,Jeff Bugg,,204-665-2306,,,,,FALSE,
Jeff Daly,,,MB,,Jeff Daily,,204-805-1506,2170611,,Polar Bear Spray Foam,Jeff Daly,FALSE,
Jeff Funk Stucco Netting,211 Wallnut,R5G 1H6,MB,Mitchell,Jeff Funk,jefffunk@xplorenet.ca,346-2040,,,,,FALSE,211 Wallnut
Jeff Trewin,,R0M 2E0,MB,Waskada,,,673-2345,9910461,,,,FALSE,
Jefferson Davis Enterprises,,,MB,,Dimas Sousa,dsousa@hotmail.ca,204-294-4480,1879162AAA,,,5485941 Manitoba Ltd,FALSE,
Jeffrey Farms Ltd,,,MB,,,,204-526-2032,1239052,,,,FALSE,
Jeffries Bros Vegetable Growers Inc,29140 HWY 1 E,R1N 3C2,MB,Portage La Prairie,Roland Jeffries,rolandj@mts.net,204-237-6776,0870907,,,,FALSE,29140 HWY 1 E
Jeffries Nurseries,29140 HWY 1 E,R1N 3C2,MB,Portage La Prairie,Roland Jeffries,rolandj@mts.net,204-237-6776,0870907,,,,FALSE,29140 HWY 1 E
Jeff's Clean Cut Yard Care,,,MB,,,,,2028652,,,,FALSE,
JEK Brick & Tile Ltd,6 Pine Cres,R5G 0G7,MB,Steinbach,Gail Klassen,,1-204-326-3129,1188465,,,,FALSE,6 Pine Cres
Jelcan Inc,6 Arcola Bay,R6W 1C9,MB,Winkler,John Fehr (Owner),john@jelcan.ca,204-362-2234,897876,,,,FALSE,6 Arcola Bay
Jeld-Wen Millwork Distribution,485 Watt St,R2K 2R9,MB,Winnipeg,Jason Collen,,204-783-0496,0454280,,G Henderson Distributors,,FALSE,485 Watt St
Jeld-Wen Windows and Doors,550 Munroe Ave,R2L 2A5,MB,Winnipeg,Paul Krueger - HR Mgr,,204-668-8230,0881391,,Willmar Window Incorporated,Jeld-Wen of Canada Ltd,FALSE,550 Munroe Ave
Jelicoeud Roofing and Construction,,,MB,,Guy Jelicoeud,guydoe@hotmail.com,204-791-2635,,,,,FALSE,
Jellyfish Float Spa,,,MB,,Roi Jones or Meer Janjua (Owners),,204-294-9890,,,,,FALSE,
JEM Building Services Inc.,,,MB,,,,,,,,,FALSE,
JEM Insurance,,,MB,,,,,,,,,FALSE,
Jem Janitorial,1313 Border St Suite 73,R3H 0X4,MB,Winnipeg,Jason Bearden,jemjanitorial@hotmail.com,997-5061,,,,,FALSE,1313 Border St Suite 73
Jenco Limited,1115 McTavish Ave,R7A 7B8,MB,Brandon,Jean Lessard,,726-8442,1122142,,,,FALSE,1115 McTavish Ave
Jen-Col,,,MB,,Collin Williams,williamscolin@hotmail.com,204-392-8954,1619485,,,,FALSE,
Jeni`s Fine Foods and Building Centre,,,MB,,,,,,,,,FALSE,
Jenkinsons Meat Market Locker Plant,,R0G 2V0,MB,Treherne,R. Gamble,,204-723-2306,0381384,,,Jenkinsons Meat Market Locker Plant,FALSE,
Jenkyns Construction,,,MB,,Stephen Jenkyns,stephen@jenkynsconstruction.com,204-990-3288,1621762,,,,FALSE,
Jenkyns Electric (2008) Ltd,1391 St James St Suite Unit 8,R3H 0Z1,MB,Winnipeg,Tyler Whitnay,,275-1263,1560051,,,,FALSE,1391 St James St Suite Unit 8
Jenner Farms Ltd,,,MB,,,,,,,,,FALSE,
Jensen Rentals Ltd,,R0H 0N0,MB,Langruth,Don Jensen,jensendon@hotmail.com,843-2231; cell 856-9072,1182179,,,Jensen Rentals Ltd,FALSE,
Jensen's Towing,,R0C 2Z0,MB,Stonewall,,,467-8293,,,,,FALSE,
Jeranne Construction,14 Legacy Drive,R0G 0A1,MB,La Salle,Brent Lough,loughjeremy@gmail.com,292-1792,1115781,,,,FALSE,14 Legacy Drive
Jeranne Construction,1820 DeVries Ave,R2G 3S8,MB,Winnipeg,Chris Laengin,,661-1055,,,,,FALSE,1820 DeVries Ave
Jeremiah Lambert,530 Rue Des Meurons,R2H 2P7,MB,Winnipeg,Jeremiah Lambert,,771-7663,,,,,FALSE,530 Rue Des Meurons
Jeremie Prociw,,,MB,,,,,,,,,FALSE,
Jeremis Ouellette,,,MB,,,,,,,,,FALSE,
Jeremy Dueck Contracting,,R0A 1E0,MB,Niverville,Jeremy Dueck,,794-8965,,,,,FALSE,
Jerid Laviolette Construction,Box 667,R0L 1P0,MB,Roblin,Jarred,,937-3650,,,,,FALSE,Box 667
Jeridon Fowke,,,MB,,,,,,,,,FALSE,
Jerrold Custom Homes Ltd,,R3K 3R2,MB,Winnipeg,,,,1215490,,,,FALSE,
Jerry Perfanick Transport Ltd,592 River St,R0A 0Y0,MB,Lorette,Jerry Perfanick,,878-2178,0850917,,,,FALSE,592 River St
Jerry Sorokowski Construction,1304 Main St Suite 201,,MB,Winnipeg,Jerry Sorokowski,,781-7244,,,,,FALSE,1304 Main St Suite 201
Jerry's Air And Construction Services Ltd.,,,MB,Ile Des Chenes,Robert Jerry & Laura Leclaire,jlconst@mts.net OR office@jaacs.ca,204.479.3145 cel and work,1514686,,,Jerry's Air And Construction Services Ltd.,FALSE,
Jerry's Aircraft & Construction,,,MB,Ile Des Chenes,,jlconst@mts.net,479-3145,965335,,,,FALSE,
Jerry's Concrete Works Ltd,1 Heatherglen Cove,R2E 0L2,MB,East St. Paul,Jerry Brandt (Owner),,204-661-4444 or 204-797-8686 (Cell),965335,,,,FALSE,1 Heatherglen Cove
Jerry's Fine Cleaning,22 Evenlea Walk,R2G 2N7,MB,Winnipeg,Jerry Cook,jerry.cook@mts.net,667-4515,1574169,,,5714177 Manitoba Ltd,FALSE,22 Evenlea Walk
Jerry's Stucco & Brick,,,MB,,,,,,,,,FALSE,
Jesmen Syeda,,,MB,,Jesmen Syeda (Owner),rjvent@hotmail.com,204-269-5544,Unable to find on the spreadsheet,,,,FALSE,
Jessica Bridal Importing LTd,633 Portage Ave,R3B 2G4,MB,Winnipeg,Kathy Trithart,,786-6302,1132745,,,Jessica Bridl Warehouse,FALSE,633 Portage Ave
Jessie Home Inc,116 Sherbrook St,R3C 4K9,MB,Winnipeg,,,,0945048,,,,FALSE,116 Sherbrook St
Jessie Lord Ltd,,,MB,,,,,,,,,FALSE,
Jessy's Pizza Dauphin,,,MB,,,,,,,,,FALSE,
Jet Automatic Car Wash 1975 Ltd,532 St James St,R3G 3J4,MB,Winnipeg,"Greg Vermeulen, General Manager",jetwash@netcom.ca,783-0258,0705723,,,,FALSE,532 St James St
Jet Construction,193 Fernwood Ave Suite 26,R3C 1X7,MB,Winnipeg,Sohail Riaz,sohail.jpj@hotmail.com,204-804.2026,1739861,,,,FALSE,193 Fernwood Ave Suite 26
Jet Construction,192 Fernwood Ave,R2M 1C4,MB,Winnipeg,Sohail Riaz,sohail.jpj@hotmail.com,804.2026,1739861,,,,FALSE,192 Fernwood Ave
Jet Electric Ltd,851 Dufferin Ave,R2X 0A2,MB,Winnipeg,,,,0594242,,,,FALSE,851 Dufferin Ave
Jet Label & Packaging Ltd.,,,MB,,,,,1903418,,,,FALSE,
Jet Roofing Ltd,582 Dufferin Ave,R2W 2Y9,MB,Winnipeg,Wojcik,,586-9305,0864223,,,,FALSE,582 Dufferin Ave
Jetar Inc,40 Leslie Drive,R6M 2P7,MB,Morden,Michelle Beaupre,,1-204-822-6281,1549823,,,,FALSE,40 Leslie Drive
Jets Plumbing & Heating Co Ltd,138 Syracuse Cres,R3T 4R8,MB,Winnipeg,Don Labuick,,269-6560,0726885,,,,FALSE,138 Syracuse Cres
Jetstream Roofing,Lily Cres Suite 16,R7A 1G8,MB,Brandon,"Bobby Magee, Rori McNiven",,204-570-2864,,,,,FALSE,Lily Cres Suite 16
JFL Services,,,MB,,James Fyke,jklservices@hotmail.ca,204-679-6482,1770023,,,,FALSE,
JFT Construction Ltd,,,MB,,,,,,,,,FALSE,
Jiffy Food Mart,1250 Richmond Ave Suite 1,R7A 6X4,MB,Brandon,Sandy & David Lindenberg,,,1011162,,,,FALSE,1250 Richmond Ave Suite 1
Jiffy Lube,,,MB,,Mark Marzoff,mark@lube1inc.ca,204-729-8497,,,,Lube 1 Inc,FALSE,
Jiffy Lube,,,MB,,Mark Marzoff,mark@lube1inc.ca,204-729-8497,,,,Lube 1 Inc,FALSE,
Jilly B's Hair Care,59 Main St,R1A 1R2,MB,Selkirk,,,204.785.1553,,,,,FALSE,59 Main St
Jilmark Construction Ltd,1221 Gateway Road Suite Unit A,R2G 1E6,MB,Winnipeg,David Wiens,david@jilmark.com,204-661-4301,1363936,,,,FALSE,1221 Gateway Road Suite Unit A
Jim & Jen Wiebe Inc.,,,MB,,,,,,,,,FALSE,
Jim and Jen Wiebe Inc.,,,MB,,,,,,,,,FALSE,
Jim Balacko,,,MB,,,,,,,,,FALSE,
Jim Fluker Construction Ltd,,R0K 0E0,MB,Boissevain,,jfluker@mymts.net,534-6147,9964339,,,,FALSE,
Jim Gauthier Cadillac Buick GMC Ltd,2400 Mcphillips St,R2V 3C8,MB,Winnipeg,Cynthia Danylo,,204-633-8833,1371103,,Garden Gate Pontiac Buick Ltd,,FALSE,2400 Mcphillips St
